player_id,player,team_id,team,position,pred_goals_per_game,pred_xg_per_game,pred_shots_per_game,pred_passes_per_game,pred_pass_completion_pct,pred_pressures_per_game,pred_crosses_per_game,pred_dribbles_per_game,pred_interceptions_per_game,games_in_sample,competitions_used,data_quality
113279.0,Freddy Elías Góndola Smith,798,Panama,Left Midfield,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5,Copa2024,good
3090.0,Nicolás Hernán Otamendi,779,Argentina,Center Back,0.0,0.36,1.0,1.5,50.0,0.5,0.0,0.0,0.5,5,Copa2024,good
5259.0,José María Giménez de Vargas,783,Uruguay,Right Center Back,0.0,0.25,0.8,25.8,79.3,6.8,0.3,0.3,1.8,7,Copa2024,good
12149.0,Nayef Aguerd,788,Morocco,Right Center Back,0.0,0.02,0.3,67.3,91.8,4.5,0.0,0.0,0.5,4,AFCON2023,limited
15311.0,Ahmed Hassan Mahgoub,774,Egypt,Right Center Forward,0.0,0.0,0.0,1.0,100.0,2.0,0.0,0.0,0.0,1,AFCON2023,poor
22084.0,Bukayo Saka,768,England,Left Wing Back,1.0,0.78,1.0,5.0,60.0,2.0,0.0,0.0,0.0,7,EURO2024,good
38718.0,Enzo Fernandez,779,Argentina,Center Defensive Midfield,0.0,0.0,0.0,14.0,85.7,7.0,0.0,0.0,1.0,7,Copa2024,good
48720.0,João Victor Gomes da Silva,781,Brazil,Right Defensive Midfield,0.0,0.0,0.0,22.0,86.1,13.0,0.0,0.0,0.0,6,Copa2024,good
6193.0,Andrés Mateus Uribe Villa,769,Colombia,Center Defensive Midfield,0.0,0.01,0.3,22.0,89.6,7.0,0.3,0.7,0.3,7,Copa2024,good
16469.0,Tomáš Holeš,912,Czech Republic,Right Center Back,0.0,0.01,0.3,38.3,73.3,12.7,1.7,0.0,1.3,3,EURO2024,limited
21633.0,Joey Veerman,941,Netherlands,Left Center Midfield,0.0,0.0,0.0,22.0,50.0,12.0,0.0,0.0,0.0,6,EURO2024,good
133003.0,Mihlali Samson Mayambela,4976,South Africa,Right Center Forward,0.0,0.0,0.0,7.0,57.1,4.0,1.0,0.0,0.0,7,AFCON2023,good
224603.0,Tanitoluwa Oluwaseyi,1833,Canada,Center Forward,0.0,0.37,1.8,7.3,77.1,4.0,0.3,0.0,0.0,5,Copa2024,good
3767.0,Ellyes Joris Skhiri,777,Tunisia,Center Defensive Midfield,0.0,0.0,0.0,10.5,72.3,3.5,0.0,0.0,0.0,5,AFCON2023,good
22600.0,Lucas Tolentino Coelho de Lima,781,Brazil,Left Midfield,1.0,1.78,4.0,35.0,80.0,18.0,0.0,1.0,0.0,5,Copa2024,good
26368.0,César Jasib Montes Castro,794,Mexico,Right Center Back,0.0,0.05,1.0,51.3,80.5,3.7,0.0,0.0,1.3,3,Copa2024,limited
28266.0,Rafael Santos Borré Amaury,769,Colombia,Right Center Forward,0.0,0.0,0.0,5.0,44.6,10.3,0.0,0.0,0.0,6,Copa2024,good
67737.0,Ahmed Mohamed Abo El Fotouh Mohamed,774,Egypt,Left Back,0.0,0.05,1.5,32.5,78.3,8.5,0.5,0.5,0.0,2,AFCON2023,poor
3306.0,Nathan Aké,941,Netherlands,Left Back,0.0,0.02,0.3,45.2,89.5,6.7,0.7,0.2,1.8,6,EURO2024,good
3669.0,Virgil van Dijk,941,Netherlands,Left Center Back,0.0,0.06,0.8,64.2,91.2,6.5,0.0,0.0,0.5,6,EURO2024,good
17592.0,William Saliba,771,France,Left Center Back,0.0,0.02,0.3,60.8,95.4,8.5,0.2,0.3,1.0,6,EURO2024,good
18395.0,Vinícius José Paixão de Oliveira Júnior,781,Brazil,Left Center Forward,2.0,0.72,3.0,26.0,69.2,10.0,4.0,16.0,0.0,4,Copa2024,limited
21633.0,Joey Veerman,941,Netherlands,Center Attacking Midfield,0.0,0.0,0.0,40.0,82.5,7.0,1.0,0.0,1.0,6,EURO2024,good
26151.0,Ricardo Daniel Pepi,1839,United States,Center Forward,0.0,0.72,2.3,9.3,92.4,11.3,0.0,0.7,0.3,4,Copa2024,limited
31067.0,Billy Gilmour,942,Scotland,Center Defensive Midfield,0.0,0.0,0.0,8.0,87.5,8.0,0.0,0.0,0.0,3,EURO2024,limited
44455.0,Sávio Moreira de Oliveira,781,Brazil,Right Midfield,0.33,0.24,1.0,11.3,97.4,4.7,0.0,3.7,0.0,6,Copa2024,good
3076.0,Ayoze Pérez Gutiérrez,772,Spain,Left Wing,0.0,0.32,3.0,3.0,100.0,2.0,0.0,2.0,0.0,1,EURO2024,poor
3313.0,Giovani Lo Celso,779,Argentina,Left Defensive Midfield,0.0,0.0,0.0,6.0,37.5,2.5,0.0,0.0,0.0,7,Copa2024,good
6196.0,Yerry Fernando Mina González,769,Colombia,Right Center Back,0.0,0.0,0.0,46.0,84.8,5.0,0.0,0.0,0.0,2,Copa2024,poor
